EPA REGISTRATION NUMBER,PRODUCT NAME,RESTRICTED USE,COMPANY CODE,COMPANY NAME,PRODUCT TYPE,PC_NAME,PC_PCT
2749-611,Ag35620-B R334.2 70 Wdg Herbicide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",HERBICIDE TERRESTRIAL,Flucarbazone-sodium,70
2749-612,Ag36076 2.88 Sc Miticide,N,2749,"ACETO LIFE SCIENCES, L.L.C.","ACARICIDE, MITICIDE",Etoxazole,31.7
2749-613,Ag36425 4 Sl Plus Herbicide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",HERBICIDE,"Sodium bentazon / Imazamox, sodium salt","43.66, 2"
2749-614,Ag36448 R334 2 Ec Herbicide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",HERBICIDE TERRESTRIAL,Fluazifop-P-butyl,24.5
2749-615,Ag36448-B 2 Ec Herbicide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",HERBICIDE,Fluazifop-P-butyl,24.5
2749-616,Ag36448-C 2 Ec Herbicide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",HERBICIDE TERRESTRIAL,Fluazifop-P-butyl,24.5
2749-617,Ag35802-A B 50 Wdg Insecticide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",INSECTICIDE,Pymetrozine,50
2749-618,Ag35802-A C 50 Wdg Insecticide,N,2749,"ACETO LIFE SCIENCES, L.L.C.","INSECTICIDE, MITICIDE",Pymetrozine,50
2749-619,Ag35814 B 30 Sg Insecticide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",INSECTICIDE,Acetamiprid,30
2749-620,Ag35814 B 70 Wp Insecticide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",INSECTICIDE,Acetamiprid,70
2749-621,Ag35814 C 70 Wp Insecticide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",INSECTICIDE,Acetamiprid,70
2749-622,Ag35814 C 30 Sg Insecticide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",INSECTICIDE,Acetamiprid,30
2749-625,Ag33037 B 3.4Fl Fungicide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",FUNGICIDE,Dodine,39.6
2749-626,Ag33037 C 3.4Fl Fungicide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",FUNGICIDE,Dodine,39.6
2749-627,Aceto Diclosulam Technical,N,2749,"ACETO LIFE SCIENCES, L.L.C.",HERBICIDE TERRESTRIAL,Diclosulam,99.17
2749-628,Ag36674 A 84% Wdg Herbicide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",HERBICIDE TERRESTRIAL,Diclosulam,84
2749-629,Ag36674 C 84% Wdg Herbicide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",HERBICIDE TERRESTRIAL,Diclosulam,84
2749-630,Ag36674 B 84% Wdg Herbicide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",HERBICIDE TERRESTRIAL,Diclosulam,84
2749-631,Ag36439-A C 2Ec Herbicide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",HERBICIDE TERRESTRIAL,Carfentrazone-ethyl,22.3
2749-637,Ag37187 B 280Sl Herbicide,N,2749,"ACETO LIFE SCIENCES, L.L.C.",HERBICIDE,Glufosinate,24.476
2749-70,Aceto Spud Nic-3 Ec,N,2749,"ACETO LIFE SCIENCES, L.L.C.",REGULATOR,Chlorpropham,36
2749-93,"2,4-Db Technical",N,2749,"ACETO LIFE SCIENCES, L.L.C.","INSECTICIDE, MITICIDE","2,4-DB",97
275-139,Water Bath Additive,N,275,ABBOTT LABORATORIES,MICROBICIDE/MICROBISTAT,5-Chloro-2-methyl-3(2H)-isothiazolone / 2-Methyl-3(2H)-isothiazolone,"0.21, 0.07"
275-3,Icq C-Series Water Bath Additive,N,275,ABBOTT LABORATORIES,ANTIMICROBIAL,5-Chloro-2-methyl-3(2H)-isothiazolone / 2-Methyl-3(2H)-isothiazolone,"0.22, 0.07"
27586-1,Tm Biocontrol-1,N,27586,US FOREST SERVICE,"INSECTICIDE, MICROBIAL PESTICIDE",Polyhedral inclusion bodies of Douglas fir tussock moth nucleopolyhedrosis virus,14.6
27586-2,Gypchek,N,27586,US FOREST SERVICE,"INSECTICIDE, MITICIDE, MICROBIAL PESTICIDE",Polyhedral inclusion bodies of gypsy moth nucleopolyhedrosis virus,11
27586-5,Technical Mch,N,27586,US FOREST SERVICE,BIOCHEMICAL PESTICIDE,3-Methyl-2-cyclohexen-1-one,98.9
27588-2,Formula F-30 Algae Control,N,27588,"DIVERSIFIED WATERSCAPES, INC.","BACTERIOCIDE, MOLLUSCICIDE, ALGAECIDE",Copper sulfate pentahydrate,10.9
278-44,Sanygen 3 In 1 Algaecide,N,278,MIAMI PRODUCTS & CHEMICAL CO.,ALGAECIDE,"Alkyl* dimethyl benzyl ammonium chloride *(60%C14, 30%C16, 5%C18, 5%C12) / Dialkyl* methyl benzyl ammonium chloride *(60% C14, 30% C16, 5% C18, 5% C12)","9.96, 0.04"
278-64,Sanygen Industrial Clor Sodium Hypochlorite,N,278,MIAMI PRODUCTS & CHEMICAL CO.,ALGAECIDE,Sodium hypochlorite,12.5
278-65,K-O-K Bleach,N,278,MIAMI PRODUCTS & CHEMICAL CO.,"DISINFECTANT, SANITIZER, FUNGICIDE",Sodium hypochlorite,5.25
2781-1,Happy Jack Sarcoptic Mange Medicine,N,2781,HAPPY JACK INC.,MITICIDE,Sulfur,28
2781-39,Mitex,N,2781,HAPPY JACK INC.,MITICIDE,Piperonyl butoxide / Pyrethrins,"0.5, 0.05"
2781-41,Happy Jack Flea & Tick Spray,N,2781,HAPPY JACK INC.,INSECTICIDE,Pyrethrins / Permethrin,"0.112, 0.101"
2781-51,Sardex-Ii Dog Mange Remedy,N,2781,HAPPY JACK INC.,"INSECTICIDE, MITICIDE",Benylate,29
2781-52,H806 Insecticide,N,2781,HAPPY JACK INC.,"INSECTICIDE, MITICIDE",Piperonyl butoxide / Permethrin,"4.25, 17"
2781-54,Benzyl Benzoate Technical Grade,N,2781,HAPPY JACK INC.,MITICIDE,Benylate,99.62
2781-9,Happy Jack Fly Ointment,N,2781,HAPPY JACK INC.,REPELLENT OR FEEDING DEPRESSANT,MGK 326 / Piperonyl butoxide / Pyrethrins,"1, 0.5, 0.2"
279-2862,Niagara Furadan 75 Base,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Carbofuran,75
279-3013,Fmc Pounce Technical Insecticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Permethrin,95.4
279-3014,Pounce 3.2 Ec Insecticide,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Permethrin,38.4
279-3038,Furadan 85 Db,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Carbofuran,85
279-3051,Pounce 25 Wp Insecticide,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Permethrin,25
279-3052,Command Technical,N,279,FMC CORPORATION ,HERBICIDE,Clomazone,90
279-3055,Bifenthrin Technical Insecticide/Miticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,98.4
279-3057,Talstar 10Wp Insecticide/Miticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,10
279-3059,Pounce 1.5G Insecticide,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Permethrin,1.5
279-3060,Carbofuran Technical,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Carbofuran,95
279-3062,Dragnet Ft Termiticide/Insecticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Permethrin,36.8
279-3069,Capture 2 Ec Insecticide/Miticide,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,25.1
279-3081,Cynoff Ec Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Cypermethrin,24.8
279-3082,Prevail Ft Termiticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Cypermethrin,24.8
279-3102,Talstar 100 G/L Ec Insecticide/Miticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,11
279-3105,Talstar Flowable Insecticide/Miticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,7.9
279-3108,Brigade Wsb Insecticide/Miticide,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,10
279-3112,Biflex Tc Termiticide/Insecticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,25.1
279-3114,Capture 2Ec-Cal Insecticide/Miticide,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,25.1
279-3115,Biflex Ft Termiticide,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,13
279-3124,Fury Technical,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Zeta-Cypermethrin,88
279-3126,Fury 1.5 Ew Insecticide,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Zeta-Cypermethrin,17.1
279-3130,Talstar Nursery Granular Insecticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,0.2
279-3141,Astro Insecticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Permethrin,36.8
279-3146,Authority 4 F Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Sulfentrazone,39.6
279-3148,Authority 75 Df Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Sulfentrazone,75
279-3149,Sulfentrazone Technical,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Sulfentrazone,91
279-3150,Command 1.5 Me Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Clomazone,17.8
279-3151,Command 2 Me Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Clomazone,22.5
279-3155,Talstar Nursery Flowable Insecticide/Miticide,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,7.9
279-3158,Command 3Me Microencapsulated Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Clomazone,31.1
279-3160,Talstar 13% Mup,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,13
279-3164,Talstar 0.2 G Lawn Granular Insecticide With Fertilizer,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,0.2
279-3167,Talstar Gc Granular Insecticide,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,0.2
279-3168,Talstar Pl Granular Insecticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,0.2
279-3169,Talstar Insect & Termite Killer,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,7.9
279-3174,Talstar 0.05 Lawn Granular Insecticide With Fertilizer Xx-X-X,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,0.05
279-3175,Authority Bl Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Metribuzin / Sulfentrazone,"28, 47"
279-3177,Biflex Sfr Termiticide/Insecticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,23.4
279-3179,Authority Broadleaf Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Chlorimuron / Sulfentrazone,"9.4, 46.9"
279-3181,Carfentrazone-Ethyl (F8426) Technical,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Carfentrazone-ethyl,91.7
279-3182,Aim 50 Df Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Carfentrazone-ethyl,50
279-3184,Skirmish Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Chlorimuron,25
279-3188,Pounce Mup Manufacturing Use Product,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Permethrin,25
279-3189,Spartan Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Sulfentrazone,75
279-3190,Talstar Sfr Mup Insecticide/Miticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,13
279-3191,Talstar Hdrtu Insecticide/Miticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,0.05
279-3194,Aim Herbicide,N,279,FMC CORPORATION ,"DEFOLIANT, DESICCANT, HERBICIDE TERRESTRIAL",Carfentrazone-ethyl,40
279-3201,Talstar 0.096 Gl Granular Insecticide With Fertilizer,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,0.096
279-3202,Talstar 0.065 Lawn Granular Insecticide With Fertilizer,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,0.065
279-3203,Talstar 0.086 Lawn Granular Insecticide With Fertilizer Xx-Xx-Xx1,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,0.086
279-3206,Talstar Tc Flowable Termiticide/Insecticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,7.9
279-3207,Talstar Fire Ant-X Fire Ant Killer,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,0.2
279-3210,Talstar 0.069 Gcgurr Granular Insecticide With Fertilizer,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,0.069
279-3211,Talstar 0.069 Gcgupt1 Granular Insecticide With Xx-X-Xx Fertilizer,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,0.069
279-3216,Talstar 0.069 Gurr Granular Insecticide With X-X-X Fertilizer,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,0.069
279-3218,Talstar 2.4% Me Insecticide/Miticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,2.4
279-3220,Spartan 4F,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Sulfentrazone,39.6
279-3223,Talstar 0.073 Gurr Granular Insecticide With Fertilizer,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,0.073
279-3227,Talstar 0.073 Gcgurr Granular Insecticide With Fertilizer,Y,279,FMC CORPORATION ,"FERTILIZER, INSECTICIDE, MITICIDE",Bifenthrin,0.073
279-3234,Talstar 0.115 Gurr Granular With Xx-X-Xx Fertilizer,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,0.115
279-3240,Lawn Insect Control,N,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin,0.115
279-3241,Aim Ec,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Carfentrazone-ethyl,22.3
279-3242,Aim Ew,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Carfentrazone-ethyl,21.3
279-3243,Zeta-Cyp Ew,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Zeta-Cypermethrin,17.1
279-3244,Capture 1.15G Insecticide/Miticide,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,1.15
279-3245,Bifenthrin St (Seed Treatment,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,19.5
279-3246,Gauntlet 70 Df Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Sulfentrazone / Cloransulam-methyl,"62.1, 7.9"
279-3250,Zeta-Cypermethrin Technical,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Zeta-Cypermethrin,36
279-3254,Aim 40 Wp Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Carfentrazone-ethyl,40
279-3255,Talstar F Flowable Termiticide/Insecticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,11.7
279-3256,Zeta-Cyp Mup,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Zeta-Cypermethrin,17.1
279-3257,Double Threat Cp Insecticide,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Spinosad / Bifenthrin,"44.2, 25.1"
279-3259,Zeta-Cyp Dust Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Piperonyl butoxide / Zeta-Cypermethrin,"0.15, 0.075"
279-3260,Zeta-Cyp Spb Mup,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Zeta-Cypermethrin,18.1
279-3265,F8426 Herbicide,N,279,FMC CORPORATION ,"HERBICIDE TERRESTRIAL, ALGAECIDE",Carfentrazone-ethyl,21.3
279-3268,F9870 Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Carfentrazone-ethyl / Halosulfuron-methyl,"12.5, 50"
279-3269,Cerano 5 Meg,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Clomazone,5
279-3271,Double Threat Insecticide,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Spinosad / Bifenthrin,"10.7, 12.2"
279-3272,Carfentrazone Row Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Carfentrazone-ethyl,21.3
279-3273,F8426 Ec Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Carfentrazone-ethyl,22.3
279-3275,Cype Technical Insecticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Cypermethrin,94
279-3276,Carfentrazone-Ethyl (F8426) Mup,N,279,FMC CORPORATION ,HERBICIDE,Carfentrazone-ethyl,52.6
279-3279,Stingray Aquatic Herbicide,N,279,FMC CORPORATION ,HERBICIDE AQUATIC,Carfentrazone-ethyl,21.3
279-3281,Bistar Wt Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin,23.4
279-3282,Sulfentrazone Row Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Sulfentrazone,75
279-3283,Pounce 3.2 Ec Lt Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Permethrin,38.4
279-3286,Talstar 10 Ph Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin,10
279-3288,Biflex 10 Wp Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin,10
279-3289,Zeta-Cyp 1.5Ew Otc Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Zeta-Cypermethrin,17.1
279-3290,Talstar 10 Bt Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin,10
279-3291,Talstar 10 Wp Rotc Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin,10
279-3292,Cyper Technical Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Cypermethrin,98.5
279-3293,F4113 Ew Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Glyphosate-isopropylammonium / Carfentrazone-ethyl,"49.71, 0.99"
279-3294,Talstar 2% Mb Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin,2
279-3295,Sulfentrazone 4F Row Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Sulfentrazone,39.6
279-3296,Zeta-Cypermethrin Sfr Mup Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Zeta-Cypermethrin,9.5
279-3300,F0570 0.15 Granular Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Zeta-Cypermethrin,0.15
279-3301,Carfentrazone-Ethyl 12% Microemulsion (Me) Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Carfentrazone-ethyl,12
279-3302,Capture Lfr Soil Insecticide,Y,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin,17.15
279-3303,Aim 12% Microemulsion (Me) Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Carfentrazone-ethyl,13.9
279-3307,Rage Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Glyphosate-isopropylammonium / Carfentrazone-ethyl,"49.71, 0.4"
279-3308,F4116 Ew Herbicide,N,279,FMC CORPORATION ,"HERBICIDE, DEFOLIANT, DESICCANT",Glyphosate-isopropylammonium / Carfentrazone-ethyl,"49.71, 0.48"
279-3309,F4115 Ew Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Glyphosate-isopropylammonium / Carfentrazone-ethyl,"49.71, 0.55"
279-3313,Brigade 2Ec Insecticide/Miticide,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin,25.1
279-3315,Hero Insecticide,Y,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin / Zeta-Cypermethrin,"11.25, 3.75"
279-3316,F6119 Ec Herbicide,N,279,FMC CORPORATION ,HERBICIDE,"2,4-D, 2-ethylhexyl ester / Carfentrazone-ethyl","65.52, 1.44"
279-3317,Echelon 0.3% Granular Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Prodiamine / Sulfentrazone,"0.2, 0.1"
279-3318,Echelon 0.9% Granular Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Prodiamine / Sulfentrazone,"0.6, 0.3"
279-3319,Echelon 0.9% Granular Herbicide On Fertilizer,N,279,FMC CORPORATION ,HERBICIDE,Prodiamine / Sulfentrazone,"0.6, 0.3"
279-3320,Echelon 0.57% Granular Herbicide On Fertilizer,N,279,FMC CORPORATION ,HERBICIDE,Prodiamine / Sulfentrazone,"0.38, 0.19"
279-3321,Echelon 0.5% Granular Herbicide On Fertilizer,N,279,FMC CORPORATION ,HERBICIDE,Prodiamine / Sulfentrazone,"0.33, 0.17"
279-3322,Echelon 0.3% Granular Herbicide On Fertilizer,N,279,FMC CORPORATION ,HERBICIDE,Prodiamine / Sulfentrazone,"0.2, 0.1"
279-3323,Echelon 4Sc Herbicide,N,279,FMC CORPORATION ,"HERBICIDE, HERBICIDE TERRESTRIAL",Prodiamine / Sulfentrazone,"27.3, 13.6"
279-3324,Echelon Mup Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Prodiamine / Sulfentrazone,"43.01, 21.5"
279-3325,Echelon 0.16% Granular Herbicide On Fertilizer,N,279,FMC CORPORATION ,"HERBICIDE, HERBICIDE TERRESTRIAL",Prodiamine / Sulfentrazone,"0.107, 0.053"
279-3329,F6126 Ew Insecticide,Y,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin / Zeta-Cypermethrin,"9.72, 3.24"
279-3330,Authority IMI (F7119 4 Sc) Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Imazethapyr / Sulfentrazone,"6.67, 33.33"
279-3332,Brigadier Insecticide,Y,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin / Imidacloprid,"11.3, 11.3"
279-3334,F7120 Sc (Spartan Advance),N,279,FMC CORPORATION ,HERBICIDE,Glyphosate-isopropylammonium / Sulfentrazone,"41.48, 5.7"
279-3336,Permethrin Mup Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Permethrin,38.4
279-3337,F7127 Se Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Carfentrazone-ethyl / Sulfentrazone,"3.53, 31.77"
279-3338,Cadet Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Fluthiacet-methyl,10.3
279-3339,Lawn Insect Control 2,N,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin / Imidacloprid,"0.16, 0.2"
279-3340,F6482 45Df Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Metribuzin / Sulfentrazone,"27, 18"
279-3341,Zeta-Cypermethrin (F2700)Bifenthrin 1:4 Sfr Mup Insecticide/Miticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin / Zeta-Cypermethrin,"13, 3.25"
279-3342,F6131 G Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin / Zeta-Cypermethrin,"0.2, 0.05"
279-3343,F6132 G Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin / Zeta-Cypermethrin,"0.2, 0.05"
279-3344,F6133 G Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin / Zeta-Cypermethrin,"0.2, 0.05"
279-3346,F6130 G Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin / Zeta-Cypermethrin,"0.115, 0.029"
279-3347,F6570 Ew Master Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Zeta-Cypermethrin,0.35
279-3348,F6570 Ew Pro Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Zeta-Cypermethrin,0.35
279-3349,F6578 Ew Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Zeta-Cypermethrin,0.04
279-3350,F6482 Turf And IVM,N,279,FMC CORPORATION ,HERBICIDE,Metribuzin / Sulfentrazone,"27, 18"
279-3351,F7119 Turf And IVM Herbicide,N,279,FMC CORPORATION ,"HERBICIDE, HERBICIDE TERRESTRIAL",Imazethapyr / Sulfentrazone,"6.67, 33.33"
279-3352,F7120 Turf And IVM Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Glyphosate-isopropylammonium / Sulfentrazone,"41.48, 5.7"
279-3353,F72202-2,N,279,FMC CORPORATION ,HERBICIDE,Sulfentrazone,1.4
279-3354,F7220-1,N,279,FMC CORPORATION ,HERBICIDE,Sulfentrazone,0.05
279-3355,F7214 Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Quinclorac / Sulfentrazone,"56.25, 18.75"
279-3356,Athena Insecticide,Y,279,FMC CORPORATION ,INSECTICIDE,Abamectin / Bifenthrin,"1.33, 8.84"
279-3359,F7488-1 Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Pendimethalin / Sulfentrazone,"31.5, 3.5"
279-3362,F6138-1 Zw Insecticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Bifenthrin / Zeta-Cypermethrin,"8, 0.75"
279-3363,F6138-1 Zw Fhe Insecticide,N,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin / Zeta-Cypermethrin,"8, 0.75"
279-3365,F8028-2 Aerosol,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Prallethrin / Bifenthrin,"0.03, 0.05"
279-3366,F7275 Herbicide,N,279,FMC CORPORATION ,"HERBICIDE, HERBICIDE TERRESTRIAL",Carfentrazone-ethyl / Quinclorac,"3.9, 66.1"
279-3370,F6285 4F Cal Herbicide,N,279,FMC CORPORATION ,HERBICIDE TERRESTRIAL,Sulfentrazone,39.6
279-3371,F6875-B 0.3% Granular Herbicide,N,279,FMC CORPORATION ,INSECTICIDE,Prodiamine / Sulfentrazone,"0.2, 0.1"
279-3372,Fmc Mop Up,N,279,FMC CORPORATION ,INSECTICIDE,"Boron sodium oxide (B8Na2O13), tetrahydrate  (12280-03-4)",98
279-3378,Bandolier Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Sulfentrazone,39.6
279-3380,F9043 Ec Insecticide,Y,279,FMC CORPORATION ,INSECTICIDE,Bifenthrin / Zeta-Cypermethrin,"9.8, 8.2"
279-3383,F7127 Turf And IVM Herbicide,N,279,FMC CORPORATION ,HERBICIDE,Carfentrazone-ethyl / Sulfentrazone,"3.53, 31.77"
279-3384,Roach Kil Commercial,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Boric acid,99
279-3385,Drax Ant Kill Gel,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Boric acid,5
279-3386,Drax Ant Kil-Pf,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Boric acid,5
279-3387,Aerosol Boric Acid,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",Boric acid,20
279-3388,Purge III Insecticide,N,279,FMC CORPORATION ,"INSECTICIDE, MITICIDE",MGK 264 / Piperonyl butoxide / Pyrethrins,"3.05, 1.95, 0.975"
